credit_lines_outstanding,loan_amt_outstanding,total_debt_outstanding,income,years_employed,fico_score
2,4185.940753,8737.352347,66616.42799,6,704
0,3123.551351,2848.412825,49141.7287,6,692
0,6183.67344,4280.400011,98514.28468,4,619
1,4219.384951,5462.291763,53534.2807,5,715
1,2231.937514,3641.783382,40772.16623,5,620
0,4149.53936,2238.843205,63101.80067,5,677
0,5605.337069,6598.432026,93191.4778,6,656
0,4127.262094,4783.533305,69195.34387,6,637
0,3341.995852,1988.544428,75764.77583,5,598
2,4831.422494,10401.67381,77411.14134,5,553
1,7016.046578,7705.141665,86000.5776,4,696
0,3286.93951,7242.783127,64700.55843,3,613
2,2850.60169,9208.151608,64498.05674,6,661
1,1363.379442,2792.260064,28871.86255,6,749
1,6135.235806,9155.630231,87252.68268,3,716
0,3641.986724,2906.877091,54558.73938,5,565
0,3503.186092,651.3612768,57589.61937,5,700
1,4093.036483,5832.444715,60404.10359,7,648
5,3411.916732,18131.92752,60719.62292,1,615
1,2740.879899,6341.364872,57564.829,6,785
0,3400.459282,2438.237979,62624.00132,4,608
2,2278.574172,6296.231004,56119.25616,5,645
0,2832.967728,2831.261039,38805.24858,4,622
0,6330.807046,8537.518023,94329.93937,4,767
4,7042.754075,30087.14463,118097.4523,3,605
0,7175.96892,8174.542171,100738.6788,3,593
0,5230.784397,3358.662667,72373.99867,3,656
1,1996.958999,3240.303881,31097.13863,5,744
5,4052.155636,13700.13638,55385.46262,4,654
0,4173.626108,5152.998779,63795.59889,5,620
2,3047.938409,9342.683935,80061.39302,7,775
4,3197.381332,11696.01029,51849.77336,4,645
0,4504.157237,4550.585638,66449.60373,3,649
0,2648.874424,3478.211903,64766.35277,6,596
0,3834.651319,4786.764461,66277.55024,5,670
0,1914.973883,2015.424468,40824.05664,6,622
0,3812.974698,733.5588212,73355.88212,6,581
3,5659.289716,19091.05991,92880.61563,4,654
2,2241.580999,10295.53246,82436.07448,8,629
0,5625.940866,5332.969872,93057.234,6,613
0,6654.649792,971.3586189,97135.86189,6,562
1,4371.119339,6693.943774,62842.60262,6,612
5,4958.51567,23006.38054,75315.51635,3,543
3,1629.960413,5889.843826,25711.76734,2,668
1,4239.21276,7665.407952,90130.64068,6,635
0,3255.093514,2840.974734,45115.13152,5,688
5,2134.466288,27189.54709,75856.71894,4,650
5,6459.888248,21361.71209,80333.12776,4,545
0,3305.336549,520.2548034,52025.48034,3,646
0,6930.915987,2550.165031,81593.00998,2,709
5,1007.110384,5526.255844,17360.41938,4,628
1,3921.391778,6271.861613,59171.03276,5,680
1,2148.645212,3990.501453,40567.77343,5,657
0,3783.939677,5496.834428,61071.38192,4,605
0,4951.340315,7569.230092,77858.65359,4,600
1,1340.894357,2383.099433,34310.03274,8,631
0,6283.780393,7153.86782,101096.7158,4,595
0,1213.399768,2390.152659,26386.55921,3,561
0,4823.022544,7074.532258,87515.39262,6,647
1,3170.803604,6404.040845,67820.96412,6,671
4,3776.309219,12294.05873,51314.47595,5,566
0,4051.8396,5426.196012,64837.00878,3,547
0,3586.014031,4926.976081,68470.77987,4,570
0,1955.726917,2325.489556,58016.70505,7,662
5,8376.605724,36782.52707,120724.5569,3,702
1,3245.491353,5202.832746,59268.52981,6,639
0,4780.808449,4600.341588,79740.44531,4,607
5,5596.574255,23391.54547,97376.23505,6,720
0,5633.218061,3338.468839,76416.23381,4,619
4,3887.552042,11656.5605,61638.23039,5,636
1,3609.626434,5838.430858,49754.94405,6,633
2,2728.576854,8302.827464,57251.33064,6,702
1,4907.945093,11018.27158,95767.8639,6,784
2,1952.544555,4377.946612,34039.42396,6,650
3,4468.959274,13508.68033,65255.75254,4,677
0,2796.288653,5725.131456,53189.3856,3,693
2,3546.308407,8356.299131,66891.53299,6,743
1,3259.580111,4812.82268,46487.26609,5,629
1,4843.668876,5190.5122,66071.00102,6,728
0,2909.447925,2713.013317,62340.39145,2,616
3,5163.385794,16040.25036,87388.02497,5,702
0,5189.324227,3875.275659,76839.56893,2,599
4,4168.510821,17283.58372,76030.44019,8,627
0,4780.8976,7082.266251,107407.3197,4,593
0,2658.489561,4649.731851,57730.24437,3,681
0,5875.218931,7019.252827,91225.68583,3,641
5,3054.226605,21209.32821,70065.98608,4,599
0,7543.189933,2466.238619,105750.7204,3,656
3,5803.641251,16568.01102,82164.32733,4,479
5,5335.11392,24964.75964,84623.84426,3,579
1,3020.363693,5067.675751,55197.07155,5,593
0,4263.448356,5946.159943,70814.48418,4,623
0,2859.509627,3598.011698,52723.46989,5,649
1,5788.301186,6843.221951,81425.05195,4,665
0,4486.954008,5346.138927,56792.9847,3,673
2,3765.904981,9724.065584,60380.57015,3,636
4,3828.030126,15809.14801,67401.21177,6,646
0,3942.222174,7074.08064,77856.77419,3,658
0,4866.199292,6956.137468,81191.24088,3,572
1,5486.246936,10857.41764,95708.67101,6,562
0,3034.767765,3113.936996,56254.37587,6,643
0,5623.52733,3709.194139,94291.38309,6,605
0,4467.725546,1056.9908,56669.95577,4,644
3,6180.37994,18065.58138,99018.10308,6,533
0,2804.894853,4311.798009,49749.69749,4,672
3,3988.200833,14522.65613,76533.40734,5,707
5,4298.185249,21531.26415,65807.6293,3,593
0,4580.356537,6177.884113,83819.71855,5,744
0,6311.730988,6555.161762,102593.188,3,593
1,2271.498545,4832.126788,42238.28975,4,638
0,5974.979317,877.4243843,87742.43843,3,664
3,5691.309927,13948.58887,73172.11036,4,615
0,4728.193769,4375.938894,72936.95016,4,649
4,4327.225197,16601.07833,75495.26852,6,707
1,2619.944873,3252.633089,43915.92044,9,741
5,3945.92163,15360.30872,53071.1259,3,625
0,4352.689262,5829.346607,59008.66818,2,714
0,3214.882664,1999.123479,53423.72172,3,614
0,6495.310023,2729.068133,99472.96242,3,708
0,4483.396093,5388.937013,63087.78417,4,718
0,3502.668462,2628.573599,72165.88133,4,674
1,4958.95666,8198.153658,78568.13817,4,609
0,4226.35566,6804.037245,66070.80709,3,615
1,2829.371919,4636.656344,41867.71494,6,749
0,2929.572785,2808.962077,48838.18951,4,575
1,5265.911403,8677.248512,87710.01453,4,706
1,3736.110023,5672.595471,66462.59824,5,679
0,2825.193953,4215.936859,51481.92601,4,657
0,3526.172736,6447.454504,73107.33336,4,684
4,1774.633528,8603.184577,33676.87791,4,511
1,5799.092346,7776.739268,90715.61717,5,676
1,5095.591315,7952.747803,90796.9356,6,610
0,2805.520337,5005.058222,57529.54738,5,677
0,3775.766966,2803.921238,68219.56862,2,608
2,3061.936828,8708.095031,71677.99347,8,664
1,4316.403162,9830.076529,76754.55177,4,640
1,2610.862086,5188.38401,51715.421,6,571
5,5939.342177,22284.23222,81435.3797,4,545
0,3274.081185,5779.710611,53803.42972,3,775
2,3939.722313,11358.73707,71750.02464,4,657
0,5456.640938,1740.645118,85597.33735,5,625
1,3609.741217,8208.627045,67799.42318,6,621
5,3757.544675,19268.73062,67014.47737,5,606
0,5103.665974,5885.113519,70040.90888,3,697
0,4122.726132,2099.926931,59034.43699,2,608
0,3382.795974,5508.689931,58259.5574,2,660
1,5134.694072,7803.132192,88305.69152,5,722
2,5806.213753,12492.40374,73399.63364,2,678
3,2499.820929,7755.977225,43396.67053,5,659
1,2333.552547,6315.936244,64914.74298,5,651
3,2989.029967,6948.312155,40286.35203,5,590
4,5233.929056,18398.72067,82016.67336,2,602
1,6783.031982,9748.919327,94838.74201,3,561
1,1118.592485,2154.883645,20118.35008,6,789
5,1445.572617,5461.697135,19098.78492,3,610
1,3124.910558,7645.796331,69824.23238,5,634
0,5438.987487,7564.534802,81771.22,6,709
3,2680.948747,8579.098372,47122.5526,5,629
3,5724.471121,15342.70813,80703.19346,3,600
3,2282.040151,7098.498979,43523.24165,7,700
0,5444.719522,6443.983359,72190.37068,4,683
0,2887.499392,4330.16761,47360.11252,4,769
1,3444.519179,5743.746735,55636.01429,4,651
1,5469.727525,7803.453925,83904.01758,5,628
0,2756.764848,1410.308236,45363.28203,3,619
5,3709.082919,15196.14608,52576.53714,4,575
2,3736.312607,10222.41948,59826.47942,3,640
1,3013.417734,3917.691472,46883.6788,5,713
1,6931.248524,7797.73022,99185.2877,4,737
0,2373.444826,3139.616824,42137.57277,4,665
5,4023.961591,16015.38324,56156.53988,3,573
5,6201.287645,29586.20096,104853.8258,6,606
0,3683.235738,7651.621246,74868.49124,4,649
1,5204.093808,8217.354698,81940.36843,5,601
5,4926.741674,18943.13978,72136.00622,4,622
1,3154.051769,4167.046188,50847.19981,6,654
3,5254.532286,20160.70392,95270.29507,3,524
5,3560.36899,22949.97561,76057.1183,6,620
0,3902.76582,1351.113757,54421.66051,4,632
0,4509.247381,5719.27241,70465.41418,3,575
0,2503.859561,3461.885587,47765.1205,2,665
2,6501.102369,14064.32545,85845.44172,3,621
2,5527.108083,12660.03983,95192.76501,4,700
0,2812.682485,2632.793347,39675.10935,3,569
0,3662.497101,3626.985473,48690.66727,3,562
5,4142.745291,21820.94088,75350.08916,4,550
2,4402.456355,12438.80583,74845.40446,3,530
0,4006.153837,723.0024692,72300.24692,5,584
0,4123.541798,2833.932398,57044.99195,7,750
5,2926.975127,26519.20017,86875.69076,4,615
1,3468.769868,3963.320373,58675.11138,6,634
2,3924.787503,10866.52067,81760.69999,7,746
1,2893.880806,3310.484767,48354.24776,6,734
0,4911.323807,6452.905939,72112.66078,4,642
0,2967.348311,3767.05805,59817.24291,4,645
0,2841.376906,2528.426122,46579.32668,6,720
1,3606.37599,5177.226607,52345.81827,5,662
0,4226.074172,5302.385344,67238.35891,4,547
1,2159.407829,6344.3438,59208.48656,6,636
0,4617.532273,1154.640148,115464.0148,4,669
5,5832.266225,23957.73284,79526.46134,4,588
2,2680.817622,5915.364626,41729.94451,6,574
1,4538.872652,9542.749194,95606.94573,6,600
0,3139.19282,1185.140566,64125.4093,6,634
2,5440.629766,12663.73816,77744.12746,5,633
0,6135.849768,2489.930173,122631.9259,6,752
0,4287.047784,3628.729181,71994.88869,7,679
4,2346.7141,14539.24991,73728.34819,7,527
0,6041.636955,889.71418,88971.418,1,595
0,8033.586168,8420.445731,118987.9205,3,747
0,2647.608576,3633.448864,69427.6089,6,737
0,6661.449574,11659.96827,95454.97579,2,577
3,4612.855841,14196.29906,74741.92695,4,593
0,5667.629093,6777.238173,91214.38753,4,657
0,5464.908372,8112.191781,82212.52467,2,712
0,3037.025908,6130.814575,62324.67423,2,707
2,5070.32688,8778.354927,70864.45155,8,690
0,3217.905213,4285.712365,52098.69704,4,668
1,4363.470656,7557.481254,69801.13278,5,704
3,2058.527287,11673.2964,56815.75945,5,691
0,4147.985276,2394.397373,63481.8097,4,733
5,2300.644972,14623.39598,58468.01879,4,682
5,3783.690047,20735.26762,76718.34207,4,554
5,5877.142211,26659.05764,86183.41732,6,579
1,6980.348803,7690.263731,81449.035,4,712
1,3498.809573,10755.79258,86462.77035,5,658
1,3445.65807,4603.413081,57432.49036,5,653
1,2345.341025,2558.272472,35244.89405,8,673
0,7637.351507,10472.91939,143833.2202,4,586
4,4913.033478,18565.79228,70163.53787,3,649
3,3880.875401,11275.36186,65963.09668,5,685
0,2452.617451,2830.522546,49139.98245,6,714
1,3527.931083,5572.170081,80548.41407,7,682
1,1852.848649,3255.846101,34061.76962,5,660
0,3807.743628,497.4633111,49746.33111,4,673
1,4671.637462,5783.38644,64160.99184,5,582
5,5206.692349,20458.40822,75436.75158,3,558
1,2772.141338,4639.955959,48953.78782,4,691
1,5010.449435,6911.100617,96516.50602,6,663
0,3207.636674,4729.65361,77632.54123,6,622
4,7105.884383,27241.41097,110305.6891,4,455
0,2898.122185,5091.662298,54459.31168,3,544
5,5407.292663,22207.93686,81623.31316,3,589
3,4899.443593,17795.9173,81136.36579,2,554
0,4220.386524,1471.565833,77298.384,2,745
0,4295.569415,637.1829379,63718.29379,0,628
0,4483.31637,5440.181078,71614.34656,4,647
3,3861.633284,9563.815184,47884.63833,3,563
0,4398.830507,4122.962907,60921.94942,2,690
0,3914.84031,6036.039785,64974.36717,3,674
1,3849.426785,5170.464726,55405.61499,5,679
0,3153.723401,642.1890644,58582.85855,2,549
3,4932.385244,14363.90603,73372.14269,5,679
0,2178.85943,2161.309184,36843.65491,5,758
2,3128.413229,12790.75161,67746.00582,3,563
1,2730.172218,4015.958697,50767.13518,6,569
3,5100.626366,14175.97457,86305.32285,5,655
1,3106.81912,7748.786713,64177.13146,6,711
3,4523.501555,16818.32379,83118.71985,4,659
0,5694.186818,7034.287374,80115.38066,4,678
0,4443.985367,5989.740016,82427.67147,5,705
1,2167.747098,3687.531105,38418.68532,5,623
1,3257.532515,5713.157484,47422.61378,5,692
0,2057.848768,2166.908907,46795.42462,5,596
0,6769.018957,3353.974162,98358.51469,1,632
2,4657.794042,12246.55361,71536.5845,1,563
0,4858.560724,763.7094815,76370.94815,3,585
1,4618.694447,7478.658255,90090.22062,8,734
0,6291.117031,7050.615043,106476.8284,2,674
1,5863.991946,7895.920781,80190.15998,5,732
0,4054.358698,3483.722421,73849.22559,6,672
0,1952.536762,3283.978382,37166.10401,5,626
4,3103.399217,13222.35757,56943.83738,5,595
0,3889.681559,5881.386712,85950.01689,5,669
0,3452.535598,3620.915701,67068.24401,6,724
0,4577.436413,5484.633824,59694.28433,3,617
3,2496.228622,5824.319339,36833.08796,6,709
0,5782.196427,5342.360691,78197.60259,4,689
1,2345.838857,3123.988757,31943.76516,6,628
1,4074.80488,6292.158102,68388.66447,7,677
0,5092.917733,1450.824969,80827.2685,3,679
0,6232.277692,5971.302595,102495.4596,6,525
1,6840.862283,13051.01388,113193.3421,6,559
5,7280.118265,25469.08236,84578.50142,5,647
0,3333.343428,1862.930111,40744.98376,5,628
0,3145.44187,705.9337988,45703.27225,6,681
0,5936.98611,6238.540503,90006.56682,3,663
0,771.3878224,918.7675547,13243.97721,5,571
1,2611.709739,4274.874976,45589.82989,5,668
1,2907.177002,3360.465029,41009.268,5,664
0,3883.3705,6122.972101,72150.54317,4,728
2,2330.739165,7844.053751,46166.0557,5,675
5,3619.277312,21815.56043,66905.29971,5,583
0,2741.388992,3775.95631,40938.51437,3,605
0,2816.132214,3525.506063,55830.14035,4,603
2,1549.210574,9232.342589,57976.52767,5,627
5,3587.778244,20172.8603,72508.14493,5,567
5,4220.278632,24298.11737,73091.82469,3,598
0,6461.355169,7322.208479,70210.35346,2,719
4,2900.630738,10660.55772,47278.04939,5,694
0,7181.334709,5282.774606,102482.1254,3,587
1,5519.208558,11340.57455,90661.62738,5,661
0,3150.039315,5931.93827,64477.49866,3,684
1,3322.788083,5909.102083,54737.84422,3,564
0,2598.616517,3822.22882,59009.58282,5,660
1,4194.856427,7356.101846,73452.4221,7,699
0,3973.675982,2938.72038,69775.19766,5,654
0,4884.179876,3891.938209,83013.00407,6,643
2,3426.375244,9372.145202,54538.62811,3,596
5,3768.969879,16077.29216,60318.48471,3,609
0,1544.964982,1937.539901,23559.79466,2,713
2,4266.678994,16376.58,103186.2561,6,689
5,5789.06839,24424.5228,82311.92707,1,568
1,3003.236462,3250.225966,46499.87385,6,709
2,3580.876045,10038.91159,82771.22009,8,639
0,4936.694239,5672.09616,77401.36105,3,668
0,2379.489254,1402.773808,50928.4222,4,585
1,4734.721401,9742.298233,102041.2397,4,685
0,6281.507504,11998.54258,107376.5507,1,591
0,2729.344225,3294.773935,64979.22596,7,573
1,2251.789868,3616.336518,55133.3024,7,690
2,8365.832556,13001.72617,114222.3221,5,616
5,6694.51466,41095.34833,126382.5036,2,649
2,4717.355793,10284.29558,76884.36959,7,752
2,3754.791505,7331.581313,75528.51306,8,816
0,6654.6523,8469.802427,99662.12718,3,545
5,1585.77155,4886.516208,21514.01724,7,659
1,1744.210545,4810.23789,38507.6884,6,674
0,3155.501828,3261.700599,41310.24538,4,496
0,4441.364812,7023.058322,89144.88123,5,489
1,6561.147125,11997.91762,109967.6148,5,686
0,3097.707507,3839.079965,48185.18351,4,611
2,3516.0093,8990.592726,57893.59636,6,664
2,3258.207788,8555.655414,57319.82347,6,695
0,3930.561436,6586.400213,95767.23678,5,620
0,3832.050996,4952.307538,62272.12896,2,646
1,5237.561802,8922.680124,112678.3219,8,579
0,4005.952178,6085.037792,68538.88573,4,702
1,4584.499666,6400.630821,84516.51076,5,658
0,5214.578171,10025.33548,84975.78449,3,702
5,3350.387971,23177.79094,77636.43994,5,644
4,5128.722323,20073.76947,79658.24857,2,574
1,2345.959069,5065.857489,42334.92697,6,632
5,5699.133198,24872.89955,82491.47161,4,549
5,4783.671039,24015.14309,82331.5553,4,600
0,3239.506043,3803.219525,77271.05237,5,611
0,3450.949925,5202.150665,75959.53975,5,590
1,2058.862231,5111.730815,52357.90446,7,594
3,2932.018039,9700.05359,45029.89797,2,573
1,3677.210009,3805.643206,48662.14114,5,620
0,1400.97588,1386.492713,18250.66154,3,631
0,3701.903733,6977.356788,73228.14307,4,651
0,4825.494863,5882.478271,67512.31503,3,772
5,2763.229314,21488.309,62798.69518,2,638
0,5845.33447,2779.787573,105161.2637,5,646
1,4157.611647,9736.586654,73615.5549,6,726
5,3631.271459,16609.3822,63469.55942,4,565
0,6929.397841,8605.913756,108411.9501,2,629
0,3143.054458,848.7447287,44629.80571,3,610
1,3211.979954,3744.535676,59775.37669,6,668
0,3603.301913,2698.339001,48455.97659,4,693
0,2607.264528,1277.611615,39003.60309,1,627
2,5572.782668,9024.853254,81830.02256,7,715
0,1798.944736,2746.041198,33832.14762,3,654
0,4336.35848,6262.472652,67277.06575,4,737
1,1339.651655,2037.268748,20584.27821,6,626
5,5805.394059,28826.35226,84077.12446,6,630
5,6163.80366,22891.73376,74879.65589,3,587
0,6064.400513,1144.970524,114497.0524,8,677
5,4970.869798,25777.1911,78901.93054,4,684
1,3133.947475,8395.364247,65640.61526,4,621
0,4311.964797,5327.643187,68861.84561,3,571
1,5011.369291,7586.355959,83369.59492,5,649
0,5740.595124,2581.281227,91947.97899,3,697
5,4370.624652,19062.72874,66036.87779,4,666
2,4865.847316,15238.16133,93768.87711,6,680
1,6274.067388,14286.66116,94708.98202,4,576
2,2781.443179,7569.320856,51554.04355,4,621
5,3082.392927,13568.1577,46194.16155,4,523
0,5240.207154,5121.236516,85986.28757,6,610
0,4240.622138,5722.17163,78323.55991,5,572
2,4374.733446,9203.555791,61827.02682,6,700
0,4834.867044,6131.918678,73268.3367,4,567
0,4001.040655,3189.926766,54762.28751,5,632
1,5050.121922,9127.972294,97129.87374,6,705
1,4693.37135,11691.51453,85722.62563,6,623
2,3704.519507,7371.679196,58331.16973,8,751
4,6088.997171,24355.93672,95303.36198,1,527
0,4171.962712,3344.481289,60118.23785,4,680
0,3724.505164,4314.423664,70487.47872,4,626
0,3094.112732,6300.014994,67768.46383,3,558
1,4118.701474,4767.061057,62251.45011,8,727
0,3370.666515,3873.639475,70471.27369,4,625
0,4149.808716,2190.270127,70979.26959,5,713
3,4692.021878,13036.7438,79334.17659,7,746
5,4576.866407,21027.48688,71158.87326,4,612
2,2511.92705,6217.568274,52836.107,8,666
0,3892.83505,6236.601908,73392.73407,2,621
4,3966.831338,15182.24657,59291.39741,1,520
1,5353.180366,7294.176471,79664.01636,6,671
1,2452.8929,4586.772905,53615.32712,5,643
2,2957.777477,9195.241425,66436.67943,5,685
0,4563.204965,5835.666667,68686.30763,5,759
0,2438.94688,445.0204582,44502.04582,4,674
0,4853.956891,7149.869166,84379.72962,3,508
0,5815.863975,6039.33484,74115.12223,4,731
2,4043.693341,9361.613043,79038.86957,8,665
0,5430.22375,1280.201281,81855.08144,6,663
0,5452.283137,5453.758418,75489.71413,4,612
2,5739.368035,12895.91477,80923.58664,4,673
1,4357.308441,10823.44917,89452.65138,6,736
1,4603.603366,10877.05806,94576.41008,6,600
5,4100.958691,20607.86687,72404.6072,4,690
1,4432.577588,8323.102205,70977.84186,6,676
5,4403.488239,18757.00865,63099.62173,4,603
2,5603.680933,14670.19702,101816.6508,5,525
1,1581.799592,2671.181678,29732.94028,5,748
0,2682.662856,3788.568949,40308.34257,4,617
0,4759.640329,1858.122818,76166.58571,6,652
5,5715.73614,29344.95961,100568.0045,7,579
0,4945.33944,2570.333551,85901.95454,3,679
3,5617.648156,19339.38234,93183.10653,4,645
0,2689.498576,4004.572287,51192.76073,3,562
1,3914.314963,9094.359858,78610.52921,5,670
2,3007.626774,8441.126755,62013.75269,4,682
0,2476.110472,6276.875166,63901.51912,4,726
1,4166.890552,5684.134518,71725.94593,7,636
0,3195.513532,5360.045671,69641.10811,5,678
5,4623.481135,17819.10015,73506.55013,4,620
3,4767.016476,15728.09175,83952.38686,4,643
0,3839.597008,3233.801366,59631.42887,2,638
2,4629.349219,9963.382976,83891.64859,8,693
0,6124.75567,4525.732185,75096.5573,5,566
0,4104.678975,4585.826308,62304.72964,3,661
1,4340.861613,8752.126615,78022.66976,4,595
0,2158.227534,1678.783326,48747.46745,6,613
0,4110.020139,3762.008274,73581.94296,8,777
1,5103.454463,6494.28236,70119.71569,4,696
1,2233.130758,5608.498244,49964.68069,7,647
2,3973.657805,9369.089493,63687.96336,5,725
0,3053.4584,3094.031735,40897.46938,4,706
2,5855.421013,10617.63609,76865.3058,6,687
0,6847.541932,10345.24572,111956.6225,5,603
1,4147.791069,5614.281863,62339.2059,5,669
0,3504.443702,2513.827667,59368.26529,6,597
0,4102.817917,4036.243582,82585.1651,6,661
1,1453.818047,4156.734201,27858.46481,3,595
0,3048.454297,5540.306446,62590.93167,4,593
0,4201.636912,5276.671877,74840.01833,4,686
2,5822.266561,13502.01381,90031.00147,5,610
0,2886.034894,799.121431,63615.10376,4,619
0,3467.756112,5651.179925,62114.28138,3,591
3,7153.76123,21065.06124,113071.5247,4,583
0,4185.451712,874.3693192,87436.93192,3,537
0,2636.98889,1580.610772,63651.44119,3,571
1,3398.86019,6765.741406,59864.80763,5,722
3,3778.097535,12780.77159,62607.96343,5,666
2,3728.415443,9929.806779,69239.30373,6,619
1,4061.070149,7396.947305,61831.98892,3,522
1,4954.351953,11380.2032,110619.8476,5,621
4,3639.368653,13737.13905,64090.67222,7,676
2,2303.757672,8045.397177,49153.47175,4,719
0,3692.348062,6160.133457,74903.237,3,656
4,4010.498899,19460.50487,88767.96147,6,627
0,3517.675467,3109.080012,59336.50754,2,562
0,4691.827014,6200.265218,82738.61793,5,702
5,6434.400949,24522.88521,86123.19018,3,522
0,3408.374814,3132.067411,48558.71849,4,633
3,2027.940113,11620.41647,62880.52479,5,724
1,4680.526307,7871.859413,80983.66282,6,667
0,3356.636736,6902.215986,65856.81028,4,639
0,5986.596975,6104.03463,88939.20887,4,681
0,3766.637723,3753.40006,71059.97521,6,780
5,3925.108854,17158.34471,70513.1836,5,592
1,3578.149242,6180.492568,72181.28208,5,595
4,5690.103377,22464.28327,91890.34759,1,539
0,4464.454642,6210.64164,73486.70488,5,657
0,5104.896788,3061.409117,82857.08918,1,690
5,2949.957398,13513.18348,47801.86362,3,531
5,6050.286262,21279.66167,83084.80076,4,532
1,3968.655617,7477.204963,66123.23004,6,700
1,5088.626958,8509.172912,70291.1255,6,632
0,5113.597609,4446.585582,79651.57672,4,586
1,3635.154212,10871.53469,108596.217,7,658
1,2405.917889,4318.878655,44047.44769,6,625
2,2811.6117,9109.13079,62766.96655,8,680
1,4718.594281,7281.246583,79180.86711,6,641
0,5876.366084,4271.837934,89454.29174,5,579
0,3893.278443,2127.013367,63636.94954,4,557
3,3605.773746,13412.75469,66082.4004,4,656
2,3794.409963,7290.468345,49043.4976,3,603
2,3880.860174,9274.690256,64660.43325,4,644
3,3172.815314,11171.24824,61834.93211,3,636
3,3639.414728,10205.57147,61394.13722,5,548
5,3207.605597,15512.69351,57696.28541,3,614
0,3636.487139,5076.525786,66529.10953,6,789
0,3646.316066,6184.970004,83800.57846,6,611
0,5209.760975,734.0702006,73407.02006,5,584
5,3109.771154,10914.79208,44827.5064,4,641
0,3058.588864,2022.598128,53525.80175,6,688
0,2694.12826,2536.774712,36070.569,6,631
0,5001.257681,2896.38829,62897.36376,3,654
1,6606.879005,15893.84039,122866.721,3,662
1,5040.928771,9190.071829,79572.33679,5,755
0,4439.968969,5537.722301,68059.89478,4,645
2,3722.376732,7478.103475,63499.04698,9,710
0,3861.363212,3820.252567,58560.47231,4,688
4,3960.783143,12491.67198,56607.59775,5,678
1,2698.64768,5586.481672,71870.81697,7,591
5,3700.584063,15553.98053,57019.10071,5,634
1,4995.505241,10059.64082,75467.60826,4,625
3,7303.442763,17645.24259,101841.2716,4,501
1,2323.518527,7000.39688,54771.54162,5,702
0,4199.445147,3504.594822,73542.78153,6,693
3,4043.325651,12161.42581,70936.91434,5,591
1,4866.238117,10468.18076,79589.3264,4,658
0,5227.304902,2691.896355,69170.02023,4,626
0,2932.332711,3508.866025,64610.06292,7,689
0,3795.595423,3890.720392,62696.06186,2,647
0,6639.630981,7123.911326,107874.2084,5,676
1,3671.756218,5468.340906,69516.13982,5,675
1,1745.565783,4362.110915,43647.15862,6,628
0,2189.008872,2157.927567,47314.37819,4,582
0,4478.344597,5489.653904,79413.84906,3,547
0,7127.036994,3907.29006,99182.41564,2,619
0,3738.213709,4096.280438,62424.79167,3,610
2,3502.899678,11272.32836,75688.96231,9,692
0,4156.657576,4366.376655,64909.5354,7,623
1,1492.292553,3388.024438,28279.18333,3,633
2,5175.768155,14000.39006,90399.25344,7,672
3,6203.489832,18124.7868,89553.01971,3,606
0,5301.199678,2672.2359,67544.99241,2,634
0,5428.35509,5947.218527,94445.13254,5,734
2,4050.129174,12962.21498,91478.75489,4,669
1,4041.183055,8598.916057,85672.0189,6,704
1,2602.140344,4183.210231,70409.30156,7,617
1,555.1278809,1180.030365,10266.31723,6,684
4,3236.887093,17098.01288,83182.40021,7,588
0,4682.09708,858.6896441,85868.96441,5,685
0,4664.807593,7100.358794,94446.90333,5,639
0,4582.000357,4001.897403,83078.45647,5,659
0,2549.720855,580.8411978,58084.11978,6,604
0,5440.302728,3620.716047,91784.42275,6,529
0,3934.146792,4753.884367,59511.80417,4,758
0,3820.950621,3568.885319,53307.43509,6,728
0,3618.870877,3473.04407,60165.43258,3,633
1,3636.844904,8606.338304,64715.60131,4,564
1,5697.16798,9447.455957,89129.90357,4,763
1,3337.668166,3930.364437,50348.63841,6,691
3,4502.175373,11814.13656,66521.63774,5,694
0,7579.596786,4330.785508,97937.29638,4,741
0,3400.907484,4372.920397,65418.05148,4,656
1,4120.470548,7909.297158,70682.91706,6,643
1,5218.905681,9594.019745,74402.80237,4,682
0,5960.954283,10139.62259,106927.2154,4,665
0,5292.286013,5493.69542,105175.2265,4,646
0,5145.026147,1918.392899,76774.27605,2,580
1,4689.997284,7454.473944,89940.20848,8,515
1,5189.975464,11019.53402,86971.74619,4,665
2,7008.707493,12878.21977,87471.63215,3,610
2,4664.631726,11450.34664,83158.93527,5,747
0,4437.636255,3388.302759,76951.88208,4,576
0,3009.5324,5803.207527,50990.06157,3,734
0,6370.776518,4836.324798,101043.6701,3,689
1,4570.05062,10454.55962,79249.32872,5,690
0,3065.015211,1171.36484,58243.01962,5,692
5,4929.834569,21084.91165,79062.58626,5,679
1,3509.353279,6813.276157,76484.08687,8,763
0,4400.686255,3394.639935,76712.15867,4,673
0,7192.762976,4879.507325,118193.6534,5,734
0,3112.303799,6165.533553,57582.08256,3,641
0,5436.532644,6212.063251,74700.47918,2,632
0,2855.25444,3212.192201,45913.96969,4,646
1,4337.629526,13523.43189,90659.48487,2,582
0,2328.383052,2101.850036,51564.89461,5,508
1,6342.770772,8702.693473,95596.27377,5,593
3,1428.295584,4821.705987,25016.8646,4,701
0,5446.172611,837.8962749,83789.62749,5,660
1,1043.595975,2337.743859,20150.80071,5,657
1,4594.281909,9795.781652,79445.90502,5,690
5,5881.383143,18830.49694,75519.67058,3,601
3,3966.203265,12132.27569,61383.4036,5,673
